Node,TAZ12,County,Region,TAZCentroid
679,679,Sacramento,SACOG/TRPA,1
680,680,Sacramento,SACOG/TRPA,1
688,4470,Los Angeles,SCAG,0
689,4334,Los Angeles,SCAG,0
690,4970,Los Angeles,SCAG,0
691,5075,Los Angeles,SCAG,0
692,5296,San Bernardino,SCAG,0
693,5359,San Bernardino,SCAG,0
694,4566,Los Angeles,SCAG,0
695,4872,Los Angeles,SCAG,0
696,6817,Orange,SCAG,0
697,4731,Los Angeles,SCAG,0
698,5805,Orange,SCAG,0
699,5419,Riverside,SCAG,0
700,700,Sacramento,SACOG/TRPA,1
701,701,Sacramento,SACOG/TRPA,1
702,702,Sacramento,SACOG/TRPA,1
703,703,Sacramento,SACOG/TRPA,1
704,704,Sacramento,SACOG/TRPA,1
705,705,Sacramento,SACOG/TRPA,1
706,706,Sacramento,SACOG/TRPA,1
707,707,Sacramento,SACOG/TRPA,1
708,708,Sacramento,SACOG/TRPA,1
709,709,Sacramento,SACOG/TRPA,1
710,710,Sacramento,SACOG/TRPA,1
711,711,Sacramento,SACOG/TRPA,1
712,712,Sacramento,SACOG/TRPA,1
713,713,Sacramento,SACOG/TRPA,1
714,714,Sacramento,SACOG/TRPA,1
715,715,Sacramento,SACOG/TRPA,1
716,716,Sacramento,SACOG/TRPA,1
717,717,Sacramento,SACOG/TRPA,1
718,718,Sacramento,SACOG/TRPA,1
719,719,Sacramento,SACOG/TRPA,1
720,720,Sacramento,SACOG/TRPA,1
721,721,Sacramento,SACOG/TRPA,1
722,722,Sacramento,SACOG/TRPA,1
723,723,Sacramento,SACOG/TRPA,1
724,724,Sacramento,SACOG/TRPA,1
725,725,Sacramento,SACOG/TRPA,1
726,726,Sacramento,SACOG/TRPA,1
727,727,Sacramento,SACOG/TRPA,1
728,728,Sacramento,SACOG/TRPA,1
729,729,Sacramento,SACOG/TRPA,1
730,730,Sacramento,SACOG/TRPA,1
731,731,Sacramento,SACOG/TRPA,1
732,732,Sacramento,SACOG/TRPA,1
733,733,Sacramento,SACOG/TRPA,1
734,734,Sacramento,SACOG/TRPA,1
735,735,Sacramento,SACOG/TRPA,1
736,736,Sacramento,SACOG/TRPA,1
737,737,Sacramento,SACOG/TRPA,1
738,738,Sacramento,SACOG/TRPA,1
739,739,Sacramento,SACOG/TRPA,1
740,740,Sacramento,SACOG/TRPA,1
741,741,Sacramento,SACOG/TRPA,1
742,742,Sacramento,SACOG/TRPA,1
743,743,Sacramento,SACOG/TRPA,1
744,744,Sacramento,SACOG/TRPA,1
745,745,Sacramento,SACOG/TRPA,1
746,746,Sacramento,SACOG/TRPA,1
747,747,Sacramento,SACOG/TRPA,1
748,748,Sacramento,SACOG/TRPA,1
749,749,Sacramento,SACOG/TRPA,1
750,750,Sacramento,SACOG/TRPA,1
751,751,Sacramento,SACOG/TRPA,1
752,752,Sacramento,SACOG/TRPA,1
753,753,Sacramento,SACOG/TRPA,1
754,754,Sacramento,SACOG/TRPA,1
755,755,Sacramento,SACOG/TRPA,1
756,756,Sacramento,SACOG/TRPA,1
757,757,Sacramento,SACOG/TRPA,1
758,758,Sacramento,SACOG/TRPA,1
759,759,Sacramento,SACOG/TRPA,1
760,760,Sacramento,SACOG/TRPA,1
761,761,Sacramento,SACOG/TRPA,1
762,762,Sacramento,SACOG/TRPA,1
763,763,Sacramento,SACOG/TRPA,1
764,764,Sacramento,SACOG/TRPA,1
765,765,Sacramento,SACOG/TRPA,1
766,766,Sacramento,SACOG/TRPA,1
767,767,Sacramento,SACOG/TRPA,1
768,768,Sacramento,SACOG/TRPA,1
769,769,Sacramento,SACOG/TRPA,1
770,770,Sacramento,SACOG/TRPA,1
771,771,Sacramento,SACOG/TRPA,1
772,772,Sacramento,SACOG/TRPA,1
773,773,Sacramento,SACOG/TRPA,1
774,774,Sacramento,SACOG/TRPA,1
775,775,Sacramento,SACOG/TRPA,1
776,776,Sacramento,SACOG/TRPA,1
777,777,Sacramento,SACOG/TRPA,1
778,778,Sacramento,SACOG/TRPA,1
779,779,Sacramento,SACOG/TRPA,1
780,780,Sacramento,SACOG/TRPA,1
781,781,Sacramento,SACOG/TRPA,1
782,5972,Orange,SCAG,0
783,783,Solano,MTC,1
784,784,Solano,MTC,1
785,785,Solano,MTC,1
786,6051,Orange,SCAG,0
787,5518,Riverside,SCAG,0
788,6292,San Diego,SANDAG,0
789,789,Sonoma,MTC,1
790,790,Sonoma,MTC,1
791,791,Sonoma,MTC,1
792,6553,San Diego,SANDAG,0
793,6303,San Diego,SANDAG,0
794,6571,San Diego,SANDAG,0
795,6641,San Diego,SANDAG,0
796,5616,Imperial,SCAG,0
797,5669,Riverside,SCAG,0
798,5648,Riverside,SCAG,0
800,800,Napa,MTC,1
801,801,Napa,MTC,1
802,802,Napa,MTC,1
803,803,Napa,MTC,1
804,804,Napa,MTC,1
805,805,Napa,MTC,1
806,806,Napa,MTC,1
807,807,Napa,MTC,1
808,808,Napa,MTC,1
809,809,Napa,MTC,1
810,810,Napa,MTC,1
811,811,Napa,MTC,1
812,812,Napa,MTC,1
813,813,Napa,MTC,1
814,814,Napa,MTC,1
815,815,Napa,MTC,1
816,816,Napa,MTC,1
817,817,Napa,MTC,1
818,818,Napa,MTC,1
819,819,Napa,MTC,1
820,820,Napa,MTC,1
821,821,Napa,MTC,1
822,822,Solano,MTC,1
823,823,Solano,MTC,1
824,824,Solano,MTC,1
825,825,Solano,MTC,1
826,826,Solano,MTC,1
827,827,Solano,MTC,1
828,828,Solano,MTC,1
829,829,Solano,MTC,1
830,830,Solano,MTC,1
831,831,Solano,MTC,1
832,832,Solano,MTC,1
833,833,Solano,MTC,1
834,834,Solano,MTC,1
835,835,Solano,MTC,1
836,836,Solano,MTC,1
837,837,Solano,MTC,1
838,838,Solano,MTC,1
839,839,Solano,MTC,1
840,840,Solano,MTC,1
841,841,Solano,MTC,1
842,842,Solano,MTC,1
843,843,Solano,MTC,1
844,844,Solano,MTC,1
845,845,Solano,MTC,1
846,846,Solano,MTC,1
847,847,Solano,MTC,1
848,848,Solano,MTC,1
849,849,Solano,MTC,1
850,850,Solano,MTC,1
851,851,Solano,MTC,1
852,852,Solano,MTC,1
853,853,Solano,MTC,1
854,854,Solano,MTC,1
855,855,Solano,MTC,1
856,856,Solano,MTC,1
857,857,Solano,MTC,1
858,858,Solano,MTC,1
859,859,Solano,MTC,1
